nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
1 0 0 0 0 0 0
2 1 1 0 0 0 0
3 2 2 0 0 1 1
4 4 4 1 1 2 2
5 6 6 3 3 5 5
6 7 7 4 4 8 8
7 8 8 5 5 11 11
8 9 9 7 7 15 15
9 11 11 8 8 20 20
10 11 11 10 10 26 26
11 12 12 12 12 32 32
12 13 13 13 13 39 39
13 14 14 15 15 46 46
14 15 15 17 17 55 55
15 15 15 19 19 63 63
16 16 16 21 21 72 72
17 17 17 22 22 82 82
18 17 17 24 24 93 93
19 18 18 26 26 105 105
20 18 18 28 28 117 117
21 19 19 30 30 128 128
22 19 19 32 32 143 143
23 20 20 34 34 156 156
24 20 20 35 35 171 171
25 21 21 38 38 187 187
26 21 21 39 39 202 202
27 21 21 42 42 217 217
28 22 22 43 43 235 235
29 22 22 46 46 252 252
30 23 23 47 47 272 272
31 23 23 50 50 290 290
32 23 23 52 52 310 310
33 24 24 53 53 331 331
34 24 24 55 55 353 353
35 24 24 57 57 371 371
36 25 25 60 60 396 396
37 25 25 63 63 418 418
38 26 26 64 64 445 445
39 26 26 66 66 468 468
40 26 26 69 69 493 493
41 26 26 70 70 515 515
42 26 26 72 72 544 544
43 27 27 74 74 573 573
44 27 27 77 77 599 599
45 27 27 78 78 623 623
46 28 28 80 80 654 654
47 28 28 85 85 681 681
48 28 28 86 86 713 713
49 29 29 87 87 743 743
50 28 28 90 90 776 776
51 29 29 92 92 807 807
52 29 29 94 94 840 840
53 29 29 96 96 871 871
54 30 30 98 98 908 908
55 30 30 101 101 943 943
56 30 30 102 102 981 981
57 31 31 104 104 1016 1016
58 30 30 107 107 1047 1047
59 30 30 108 108 1085 1085
60 31 31 112 112 1126 1126
61 31 31 114 114 1159 1159
62 31 31 115 115 1206 1206
63 31 31 118 118 1241 1241
64 31 31 118 118 1283 1283
65 32 32 122 122 1323 1323
66 32 32 126 126 1360 1360
67 32 32 126 126 1404 1404
68 32 32 130 130 1449 1449
69 32 32 131 131 1497 1497
70 33 33 135 135 1542 1542
71 33 33 135 135 1578 1578
72 33 33 140 140 1630 1630
73 33 33 140 140 1678 1678
74 33 33 142 142 1716 1716
75 33 33 145 145 1766 1766
