nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
1 0 0 0 0 0 0
2 0 1 0 1 0 1
3 0 1 0 0 0 0
4 1 1 0 1 1 1
5 0 1 0 1 0 1
6 2 2 2 1 3 2
7 1 2 1 2 2 2
8 2 3 1 2 2 4
9 1 3 1 2 1 4
10 0 3 0 2 1 4
11 1 1 1 1 1 2
12 1 1 1 1 2 2
13 1 1 1 1 2 2
14 1 1 1 1 2 2
15 1 1 1 1 3 3
16 1 1 1 2 3 3
17 1 1 2 2 3 3
18 1 1 2 2 3 3
19 2 2 2 2 4 4
20 2 2 2 2 4 4
21 2 2 2 2 4 4
22 2 2 3 3 6 6
23 3 2 3 3 6 6
24 2 2 3 3 6 6
25 3 2 3 3 7 6
26 3 2 3 3 8 7
27 3 2 5 3 8 8
28 3 3 4 4 8 8
29 3 3 4 4 9 9
30 4 3 4 4 9 9
31 4 3 5 4 11 12
32 4 5 5 6 11 12
33 4 4 6 5 11 12
34 5 4 6 5 12 14
35 5 4 6 5 13 12
36 5 4 6 5 16 13
37 5 4 6 6 15 14
38 5 4 7 6 17 15
39 6 4 7 6 16 15
40 6 4 7 6 18 16
41 6 5 8 7 18 17
42 6 5 8 7 20 18
43 7 5 8 7 19 17
44 7 6 8 7 20 19
45 7 5 9 8 21 22
46 7 5 11 8 22 21
47 8 5 10 8 23 22
48 8 5 10 8 26 22
49 8 5 11 8 27 24
50 9 5 11 8 26 24
51 9 6 11 9 28 25
52 9 5 11 9 27 27
53 9 6 12 9 30 26
54 10 6 12 9 29 27
55 10 6 13 10 32 29
56 11 6 13 10 32 31
57 11 6 14 10 32 32
58 11 6 14 10 34 33
59 12 6 15 10 37 32
60 12 7 15 11 36 35
61 13 8 15 11 37 35
62 13 7 16 11 40 37
63 14 7 17 12 42 40
64 15 8 18 13 46 41
65 16 8 19 13 48 43
66 16 8 19 13 48 42
67 16 8 19 13 49 43
68 16 8 19 15 49 44
69 17 8 20 14 52 45
70 16 8 20 13 51 45
71 17 8 20 13 51 45
72 17 8 21 14 53 47
73 18 8 21 14 57 48
74 18 8 22 15 55 52
75 19 8 23 15 57 51
76 19 8 23 15 58 54
77 20 8 23 15 58 55
78 20 9 24 15 60 56
79 20 9 24 15 63 57
80 21 9 25 16 65 58
81 21 9 25 16 68 60
82 22 9 26 17 70 60
83 22 9 28 17 68 62
84 22 9 27 17 71 64
85 23 10 28 17 73 65
86 24 10 28 17 74 66
87 24 10 30 18 75 68
88 24 10 29 18 76 66
89 25 10 30 18 75 70
90 26 10 31 18 80 72
91 26 11 33 19 81 71
92 27 10 33 19 82 76
93 28 10 32 21 83 77
94 28 11 34 20 85 80
95 28 11 34 20 87 81
96 29 11 34 20 88 85
97 29 11 35 20 91 83
98 30 11 36 21 95 84
99 31 11 36 21 96 86
100 31 11 37 21 99 87
101 32 11 38 21 101 90
102 33 12 39 22 102 89
103 34 12 39 23 101 94
104 34 12 40 24 104 95
105 34 12 41 22 109 95
106 36 13 41 23 107 99
107 36 12 41 23 109 101
108 37 13 43 23 112 101
109 37 12 44 24 116 104
110 38 12 44 24 118 103
111 40 13 45 24 118 107
112 39 13 46 24 120 110
113 40 13 47 25 123 113
114 41 13 47 25 125 111
115 41 13 48 25 126 116
116 42 13 49 25 131 115
117 43 13 50 26 128 121
118 43 13 50 27 136 119
119 44 14 51 26 139 119
120 44 13 51 26 137 125
121 45 13 53 26 141 127
122 46 14 55 27 140 128
123 46 14 55 27 145 127
124 47 14 55 28 147 128
125 48 14 55 28 145 135
126 49 14 56 28 150 137
127 49 15 57 28 151 140
128 51 15 59 29 158 138
129 52 15 59 31 156 141
130 52 15 59 29 160 147
131 53 15 60 29 166 145
132 54 15 62 30 165 145
133 53 15 62 30 167 145
134 56 16 65 30 167 153
135 57 15 64 31 171 155
136 57 16 65 31 177 156
137 58 16 65 31 177 158
138 59 16 67 32 181 163
139 59 16 68 32 181 165
140 60 16 68 32 185 166
141 61 16 71 33 186 164
142 62 16 70 33 186 175
143 62 16 72 33 192 176
144 63 18 71 33 190 177
145 65 17 73 34 199 181
146 65 17 75 34 200 185
147 66 17 75 34 201 183
148 67 17 75 34 207 182
149 68 18 76 35 209 187
150 68 17 78 35 214 188
151 69 17 79 35 212 193
152 70 18 79 36 216 196
153 71 18 80 37 218 198
154 73 18 81 37 224 196
155 73 18 83 37 226 203
156 73 18 83 37 226 202
157 74 18 86 38 228 204
158 77 19 86 38 231 209
159 77 18 87 37 234 209
160 77 19 87 39 241 213
161 78 19 88 39 240 217
162 79 20 89 39 242 214
163 81 19 90 39 245 221
164 81 19 91 39 253 221
165 82 19 92 39 251 228
166 84 19 93 40 255 226
167 86 20 96 40 258 231
168 85 20 96 42 261 232
169 87 20 97 41 262 238
170 87 20 98 42 267 240
171 88 20 99 41 271 243
172 90 20 100 42 275 247
173 91 20 101 42 275 251
174 92 20 103 43 276 258
175 92 21 104 45 282 257
176 94 21 104 44 286 257
177 95 21 105 45 291 260
178 96 21 108 44 289 266
179 97 21 107 44 296 265
180 97 21 109 44 297 270
181 98 21 110 44 306 272
182 99 21 112 45 306 268
183 101 21 114 45 309 280
184 103 22 114 45 313 276
185 104 22 114 46 312 289
186 103 22 116 47 316 285
187 106 22 117 48 320 287
188 106 22 120 48 328 286
189 107 22 119 49 330 294
190 107 22 120 48 329 304
191 109 22 121 48 331 304
192 111 23 123 48 337 302
193 112 24 123 48 335 311
194 112 23 123 48 347 315
195 114 23 125 50 350 307
196 115 24 129 51 350 310
197 114 23 127 49 352 318
198 119 23 131 50 357 322
199 120 23 131 50 357 321
200 120 23 133 50 363 326
201 121 24 134 50 368 329
202 122 24 135 51 372 329
203 123 26 137 51 373 335
204 127 24 138 52 374 339
205 127 24 140 52 380 349
206 128 24 140 54 385 348
207 129 26 142 53 388 352
208 129 25 142 53 391 355
209 131 25 145 54 404 353
210 132 25 146 53 402 366
211 133 25 147 53 406 359
212 134 25 148 54 410 370
213 135 25 148 56 410 372
214 136 27 150 55 418 373
215 138 25 155 55 417 383
216 139 26 154 56 424 382
217 141 26 157 56 428 388
218 142 27 157 55 433 389
219 143 26 158 56 437 390
220 145 26 159 59 442 395
221 145 26 159 57 445 397
222 148 26 164 57 450 404
223 149 26 162 58 449 406
224 151 26 165 58 457 411
225 150 26 165 59 458 414
226 152 27 167 58 464 415
227 154 27 170 59 466 422
228 155 27 171 59 468 427
229 157 27 172 59 471 430
230 158 28 172 63 469 433
231 160 27 175 61 481 435
232 161 27 176 64 484 441
233 162 28 176 61 487 441
234 163 28 178 62 495 443
235 165 28 180 63 497 441
236 166 28 182 62 504 451
237 167 28 182 64 503 451
238 169 28 184 63 508 454
239 171 28 186 63 513 466
240 175 29 191 64 522 470
241 174 29 189 64 522 474
242 174 29 191 64 529 467
243 179 28 192 65 534 476
244 175 29 197 64 536 476
245 178 29 195 64 535 486
246 182 29 197 66 545 492
247 181 30 198 65 548 492
248 183 30 199 65 552 494
249 186 30 202 67 566 497
250 187 30 204 67 572 503
251 187 30 203 67 562 508
252 189 30 206 69 569 516
253 189 30 207 70 567 518
254 192 30 209 68 579 522
255 193 31 210 69 581 529
256 195 30 211 71 588 531
257 197 31 216 69 599 529
258 198 31 215 70 607 536
259 199 31 218 69 609 536
260 202 31 219 70 615 548
261 204 34 221 71 620 546
262 202 31 223 71 614 559
263 206 32 222 72 620 566
264 207 32 225 72 626 566
265 209 32 227 72 636 571
266 211 32 229 72 635 576
267 212 32 231 73 645 579
268 214 32 233 73 644 580
269 219 34 236 75 661 586
270 218 32 236 73 658 590
271 219 32 237 74 659 590
272 219 33 238 74 662 596
273 220 33 240 74 665 603
274 223 33 242 74 671 605
275 224 33 243 76 681 610
276 226 33 244 76 680 612
277 226 33 246 76 684 625
278 229 33 246 77 691 619
279 231 33 251 76 696 621
280 232 34 251 78 709 630
281 235 34 256 79 703 628
282 237 34 254 78 705 650
283 240 34 258 78 713 643
284 239 34 256 79 728 656
285 242 34 260 79 729 655
286 245 34 264 79 732 666
287 247 35 267 79 736 656
288 245 35 268 79 736 664
289 246 35 265 79 730 673
290 248 35 270 81 747 679
291 251 34 270 81 757 673
292 253 35 273 81 757 679
293 255 35 273 81 764 689
294 256 35 275 82 769 694
295 257 35 278 83 772 694
296 258 35 281 83 770 698
297 263 36 286 84 795 705
298 262 35 283 83 786 712
299 264 36 283 83 795 710
300 266 36 286 84 796 722
301 271 36 290 85 813 723
302 270 37 290 85 807 728
303 273 37 295 85 823 728
304 272 37 295 85 813 732
305 275 37 296 85 827 735
306 276 37 297 87 827 743
307 279 39 299 86 839 753
308 282 37 303 87 847 754
309 282 37 319 87 843 760
310 285 37 305 88 848 779
311 286 37 309 87 868 766
312 288 38 310 89 875 771
313 291 38 310 88 868 788
314 291 38 313 89 872 800
315 294 38 315 90 888 797
316 296 38 316 92 887 799
317 298 39 318 91 896 814
318 297 38 318 90 897 811
319 302 38 321 92 908 822
320 302 39 323 93 913 824
321 304 39 327 91 916 833
322 307 39 329 92 930 842
323 309 39 330 93 935 836
324 311 39 333 92 938 849
325 312 39 334 93 942 849
326 313 41 336 92 942 856
327 315 40 338 93 959 854
328 319 40 342 94 967 865
329 321 40 344 95 968 874
330 320 39 343 96 968 869
331 324 40 347 95 982 877
332 325 41 349 97 979 884
333 328 40 353 96 988 909
334 328 40 351 95 986 898
335 331 40 354 97 1000 900
336 334 41 358 97 1014 904
337 336 41 358 97 1012 915
338 338 41 361 98 1018 924
339 337 41 366 98 1021 915
340 345 42 369 100 1039 925
341 347 42 370 99 1033 948
342 348 42 369 99 1047 937
343 347 42 370 99 1052 933
344 350 42 377 100 1062 944
345 351 42 375 100 1063 950
346 353 42 378 101 1065 962
347 358 42 381 101 1073 965
348 358 42 381 103 1089 974
349 359 42 386 101 1073 968
350 363 43 389 101 1083 979
351 367 43 387 104 1102 979
352 366 43 391 102 1102 988
353 373 42 395 104 1110 1000
354 371 43 393 105 1110 997
355 375 43 395 106 1118 1002
356 374 44 398 103 1134 996
357 377 44 402 106 1127 1016
358 377 43 403 107 1133 1017
359 381 44 406 107 1147 1026
360 382 44 408 106 1146 1038
361 386 44 409 107 1166 1037
362 386 44 414 107 1158 1038
363 390 45 416 108 1170 1045
