nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
1 0 3 0 3 0 2
2 1 6 1 5 1 9
3 1 2 1 2 1 2
4 3 4 2 18 3 5
5 4 5 3 4 4 7
6 11 8 9 6 11 15
7 6 8 6 7 7 9
8 8 10 7 9 9 18
9 7 16 10 14 9 21
10 2 7 2 6 3 10
11 2 8 2 7 3 12
12 2 9 2 9 4 15
13 3 11 3 11 5 20
14 3 7 3 8 5 14
15 4 4 4 5 6 7
16 4 4 5 5 8 9
17 4 4 4 4 7 8
18 4 4 5 5 9 10
19 6 6 7 8 16 15
20 7 6 8 8 22 16
21 5 5 6 6 12 12
22 9 7 10 9 18 18
23 7 6 8 8 15 15
24 8 7 9 9 17 18
25 8 7 9 9 18 19
26 10 8 12 11 25 26
27 9 8 11 11 24 25
28 12 9 14 13 28 28
29 9 9 11 12 23 25
30 11 12 14 15 28 31
31 12 12 14 15 36 33
32 13 37 16 52 33 135
33 14 36 16 51 35 141
34 17 39 20 60 48 170
35 17 19 21 29 50 78
36 21 14 24 34 52 51
37 16 12 20 16 42 39
38 18 12 21 18 44 42
39 17 12 21 18 46 43
40 14 12 17 16 37 39
41 22 14 26 19 53 51
42 32 19 39 28 77 75
43 32 18 37 27 77 74
44 33 20 39 29 92 89
45 16 11 20 17 54 52
46 17 10 21 16 50 43
47 20 12 24 18 53 48
48 24 14 29 22 64 59
49 18 11 22 17 50 45
50 18 11 22 17 54 45
51 21 12 25 19 58 52
52 22 12 27 20 61 56
53 21 12 26 19 60 54
54 25 13 30 21 67 63
55 30 16 35 25 80 73
56 33 17 40 28 91 81
57 25 14 31 22 73 64
58 25 13 30 21 70 63
59 31 15 36 24 82 75
60 49 23 61 37 125 117
61 49 21 56 35 120 114
62 44 19 51 32 110 104
63 44 19 51 32 114 106
64 44 74 52 94 121 449
65 33 32 39 59 95 235
66 29 14 35 24 89 76
67 34 17 42 28 99 89
68 40 18 48 31 116 101
69 36 17 43 29 102 91
70 34 16 42 28 102 89
71 39 18 46 31 112 100
72 36 16 42 28 105 92
73 38 17 45 30 110 99
74 40 18 48 32 117 104
75 45 18 50 32 121 108
76 45 19 53 33 127 113
77 43 18 50 31 125 108
78 57 24 68 43 167 144
79 43 18 51 32 125 114
80 41 17 49 31 122 111
81 49 20 58 35 140 129
82 60 24 70 43 169 157
83 51 21 60 36 147 134
